"Name","Category","Calories Kcal","Protein G","Fat G","Carbohydrates G","Fiber G","Cholesterol Mg","Calcium Mg","Phosphorus Mg","Iron Mg","Sodium Mg","Potassium Mg","Beta Carotene Mcg","Vitamin A Mcg","Vitamin B1 Mg","Vitamin C Mg"
"Thịt gà ta","THỊT VÀ SẢN PHẨM CHẾ BIẾN","199","20.3","13.1","","","","12","200","1.5","","","","120","0.15","4"
"Thịt heo mỡ","THỊT VÀ SẢN PHẨM CHẾ BIẾN","394","14.5","37.3","","","","8","156","0.4","","","","","",""
"Thịt heo nạc","THỊT VÀ SẢN PHẨM CHẾ BIẾN","139","19","7","","","","7","190","1","","","","","0.9",""
"Thịt heo ba chỉ","THỊT VÀ SẢN PHẨM CHẾ BIẾN","260","16.5","21.5","","","","9","178","1.5","","","","10","0.53","2"
"Thịt thỏ","THỊT VÀ SẢN PHẨM CHẾ BIẾN","158","21.5","8","","","65","21","224","1.6","","","","","0.08",""
"Thịt vịt","THỊT VÀ SẢN PHẨM CHẾ BIẾN","267","17.8","21.8","","","76","13","145","1.8","","","","270","0.07",""
"Cật bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","67","12.5","1.8","0.3","","","9","219","7.1","200","","","330","0.4","6"
"Cật heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","81","13","3.1","0.3","","375","8","223","8","","390","","150","0.38","5"
"Da heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","118","23.3","2.7","","","","11","8","0.4","","","","","0.29",""
"Giòheo bỏ xương","THỊT VÀ SẢN PHẨM CHẾ BIẾN","230","15.7","18.6","","","60","24","106","2.1","","","","30","0.01",""
"Bao tử bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","97","14.8","4.2","","","95","150","85","0.9","","","","","0.04",""
"Bao tử heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","85","14.6","2.9","","","","8","144","1.4","","","","","0.05",""
"Đầu heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","335","13.4","31.3","","","","","","","","","","","",""
"Đuôi bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","137","19.7","6.5","","","","7","162","2.5","","","","","0.03",""
"Đuôi heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","467","10.8","47.1","","","","","","","","","","","",""
"Gan bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","110","17.4","3.1","3","","","5","340","9","110","213","","5000","0.4","30"
"Gan gà","THỊT VÀ SẢN PHẨM CHẾ BIẾN","111","18.2","3.4","2","","440","21","260","8.2","","335","","6960","0.38","7"
"Gan heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","116","18.8","3.6","2","","320","7","353","12","110","447","","6000","0.4","18"
"Gan vịt","THỊT VÀ SẢN PHẨM CHẾ BIẾN","122","17.1","4.7","2.8","","","17","177","4.8","","","","2960","0.44","7"
"Gân chân bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","124","30.2","0.3","","","","","","","","","","","",""
"Lưỡi bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","164","13.6","12.1","0.2","","108","7","162","3","","","","","0.07","3"
"Lưỡi heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","178","14.2","12.8","1.4","","","7","118","2.4","","","","","0.08",""
"Lòngheo (ruột già)","THỊT VÀ SẢN PHẨM CHẾ BIẾN","167","6.9","15.1","0.8","","","12","55","0.5","","","","","0.09",""
"Phèo heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","44","7.2","1.3","0.8","","","7","48","0.8","","","","","0.09",""
"Mề gà","THỊT VÀ SẢN PHẨM CHẾ BIẾN","99","21.3","1.3","0.6","","","48","150","6.6","","","","","0.04",""
"Óc bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","124","9","9.5","0.5","","","6","311","0.9","","","","","0.13",""
"Óc heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","123","9","9.5","0.4","","","7","311","1.6","","","","","0.14",""
"Sườn heo bỏ xương","THỊT VÀ SẢN PHẨM CHẾ BIẾN","187","17.9","12.8","","","66","7","160","0.6","","","","","0.96",""
"Tai heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","121","21","4.1","","","","","","","","","","","",""
"Tim bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","89","15","3","0.6","","","5","185","5.4","","","","6","0.31","7"
"Tim gà","THỊT VÀ SẢN PHẨM CHẾ BIẾN","114","16","5.5","","","","21","185","5.3","","","","","",""
"Tim  heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","89","15.1","3.2","","","140","7","213","5.9","","","","8","0.34","1"
"Huyết bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","75","18","0.2","0.4","","","8","31","52.6","","","","30","0.09",""
"Huyết heo luộc","THỊT VÀ SẢN PHẨM CHẾ BIẾN","44","10.7","0.1","","","","7","12","25.9","","","","93","",""
"Huyết heo sống","THỊT VÀ SẢN PHẨM CHẾ BIẾN","25","5.7","0.1","0.2","","","7","7","20.4","","","","25.8","",""
"Pa-tê","THỊT VÀ SẢN PHẨM CHẾ BIẾN","326","10.8","24.6","15.4","","","26","88","4.2","","","","","",""
"Chả quế","THỊT VÀ SẢN PHẨM CHẾ BIẾN","416","16.2","39","","","","16","44.8","2.1","","","","","",""
"Dăm bông heo","THỊT VÀ SẢN PHẨM CHẾ BIẾN","318","23","25","0.3","","70","10","110","2.1","","","","","0.4",""
"Chả bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","357","13.8","33.5","","","","18","12.2","3.2","","","","","",""
"Chả lụa","THỊT VÀ SẢN PHẨM CHẾ BIẾN","136","21.5","5.5","","","","","","","","","","","",""
"Giò thủ","THỊT VÀ SẢN PHẨM CHẾ BIẾN","553","16","54.3","","","","","","","","","","","",""
"Lạp xưởng","THỊT VÀ SẢN PHẨM CHẾ BIẾN","585","20.8","55","1.7","","","52","175","3","","","","","0.46","0,,0"
"Nem chua","THỊT VÀ SẢN PHẨM CHẾ BIẾN","137","21.7","3.7","4.3","","","24","78","","","","","","","0,,0"
"Chà bông","THỊT VÀ SẢN PHẨM CHẾ BIẾN","396","46.6","20.3","","","","29","15.5","0.3","","","","","",""
"Thịt bò khô","THỊT VÀ SẢN PHẨM CHẾ BIẾN","239","51","1.6","5.2","","","31","476","8.1","","","","","0.13",""
"Xúc xích","THỊT VÀ SẢN PHẨM CHẾ BIẾN","535","27.2","47.4","","","","7","139","1.9","","","","","0.34",""
"Ếch","THỊT VÀ SẢN PHẨM CHẾ BIẾN","90","20","1.1","","","","22","159","1.3","","","","5","0.04",""
"Nhộng","THỊT VÀ SẢN PHẨM CHẾ BIẾN","111","13","6.5","","","","40","109","","","","","","",""
"Cá bống","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","70","15.8","0.8","","","","17","181","0.9","","","","","0.02",""
"Cá chép","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","96","16","3.6","","","70","17","184","0.9","","397","","181","0.02",""
"Cá đối","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","108","19.5","3.3","","","","21","224","1","","","","45","0.07",""
"Cá hồi","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","136","22","5.3","","","","13","230","1.1","","","","30","0.22",""
"Cá khô","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","208","43.3","3.9","","","","120","95","0.9","","","","","0.08",""
"Cá mè","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","144","15.4","9.1","","","","157","215","","","","","","",""
"Cá mòi","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","124","17.5","6","","","","80","240","3","","","","20","0.02",""
"Cá mỡ","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","151","16.8","9.3","","","","42","173","1.4","","","","30","0.08",""
"Cá nạc","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","80","17.5","1.1","","","","42","173","1.4","","","","","0.06",""
"Cá ngừ","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","87","21","0.3","","","","44","206","1","78","518","","5","0.02",""
"Cá nục","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","111","20.2","3.3","","","","85","160","","","","","","",""
"Cá phèn","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","104","15.9","4.5","","","","40","50","","","","","","",""
"Cá lóc","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","97","18.2","2.7","","","","90","240","","","","","","0.04",""
"Cá rô đồng","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","126","19.1","5.5","","","","26","151.2","0.3","","","","","",""
"Cá rô phi","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","100","19.7","2.3","","","","50","147.5","0.5","","","","","",""
"Cá thu","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","166","18.2","10.3","","","","50","90","1.3","110","486","","10","0.07",""
"Cá trê","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","173","16.5","11.9","","","","20","210","1","","","","93.3","0.1",""
"Cua biển","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","103","17.5","0.6","7","","","141","191","3.8","316","322","","35.8","0.03",""
"Cua đồng","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","87","12.3","3.3","2","","","5040","430","4.7","","","","","0.01",""
"Ghẹ","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","54","11.9","0.7","","","","40","125","","","","","","",""
"Hải sâm","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","90","21.5","0.3","0.2","","","118","22","1.4","","","","102","0.01",""
"Hến","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","45","4.5","0.7","5.1","","","144","86","1.6","","","","","",""
"Lươn","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","94","20","1.5","","","","35","164","1","","","","1800","0.15",""
"Mực khô","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","291","60.1","4.5","2.5","","","27","287","5.6","","","","","0.13",""
"Mực tươi","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","73","16.3","0.9","","","","14","150","0.6","","273","","","0.01",""
"Ốc bươu","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","84","11.1","0.7","8.3","","","1310","64","","","","","","",""
"Ba khía muối","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","83","14.2","2.9","","","","4820","330","","","","","","",""
"Sò","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","51","8.8","0.4","3","","","37","82","1.9","380","223","","52.5","0.03",""
"Tép gạo","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","58","11.7","1.2","","","","910","218","","","","","","",""
"Tôm biển","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","82","17.6","0.9","0.9","","","79","184","1.6","","","5","20","0.04",""
"Tôm đồng","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","90","18.4","1.8","","","200","1120","150","2.2","418","316","","15","0.02",""
"Tôm khô","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","347","75.6","3.8","2.5","","","236","995","4.6","","","","","0.16",""
"Bánh phồng tôm","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","676","1.6","59.2","34.1","","","175","30","","","","","","",""
"Chà bông cá lóc","THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","312","65.7","4.1","3","","","26","654","","","","","","",""
"Trứng gà","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","166","14.8","11.6","0.5","","600","55","210","2.7","158","176","281","700","0.16",""
"Lòng đỏ trứng gà","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","327","13.6","29.8","1","","1790","134","532","7","108","169","578","960","0.32",""
"Lòng trắng trứng gà","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","46","10.3","0.1","1","","","19","16","0.3","215","172","","","0.01",""
"Trứng vịt","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","184","13","14.2","1","","600","71","210","3.2","191","258","185","360","0.15",""
"Lòng đỏ trứng vịt","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","368","13.6","32.3","4.8","","1790","146","328","5.6","","","695","1625","0.54",""
"Lòng trắng trứngvịt","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","50","10.7","0.1","0.8","","","6","8","","","","","","",""
"Trứng vịt lộn","TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","182","13.6","12.4","4","","600","82","212","3","","","435","875","0.12","3"
"Sữa bò tươi","SỮA VÀ SẢN PHẨM CHẾ BIẾN","74","3.9","4.4","4.8","","30","120","95","0.1","380","","22","50","0.05","1"
"Sữa mẹ","SỮA VÀ SẢN PHẨM CHẾ BIẾN","61","1.5","3","7","","","34","15","0.1","15","41","30","90","0.01","6"
"Thơm hộp","ĐỒ HỘP","56","0.3","","13.7","0.2","","20","12","0.3","","","10","","0.06","14"
"Đậu phộng chiên","ĐỒ HỘP","680","25.7","59.5","10.3","","","","","","","","","","",""
"Mứt thơm","ĐỒ HỘP","208","0.5","","51.5","0.4","","20","16","0.3","","","20","","0.09","13"
"Mứt đu đủ","ĐỒ HỘP","178","0.4","","44.1","2","","24","30","","","","","","",""
"Nhãn hộp","ĐỒ HỘP","62","0.5","","15","1","","12","230","0.3","","","","","","32"
"Nước thơm","ĐỒ HỘP","39","0.3","","9.4","0.4","","32","12","0.3","","","","","0.04","41"
"Vải hộp","ĐỒ HỘP","60","0.4","","14.7","1.1","","8","160","0.6","","","","","","10"
"Cá thu hộp","ĐỒ HỘP","207","24.8","12","","","","50","260","1.6","","","","","0.02",""
"Cá trích hộp","ĐỒ HỘP","233","22.3","14.4","3.5","","52","86","437","2.3","","","","28","0.02",""
"Thịt bò hộp","ĐỒ HỘP","251","16.4","20.6","","","85","13","250","2.9","","","","","",""
"Thịt gà hộp","ĐỒ HỘP","273","17","22.8","","","120","108","138","2.8","","","","520","0.09",""
"Thịt heo hộp","ĐỒ HỘP","344","17.3","29.3","2.7","","60","9","200","1.2","","","","","0.19",""
"Bánh mì khô","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","346","12.3","1.3","71.3","0.8","","39","231","2.7","","","13","86","0.36",""
"Bánh in chay","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","376","3.2","0.3","90.2","0.2","","2","0.9","0.1","","","","","0.04",""
"Bánh sôcôla","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","449","3.9","17.6","68.8","","","58","142","3.7","","","10","13","0.04",""
"Bánh thỏi sôcôla","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","543","4.9","30.4","62.5","","172","280","280","1.5","","","2","","0.03",""
"Bánh men","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","369","9.6","3.7","74.2","0.2","","76","140.4","3.9","","","105","17","0.15",""
"Đường cát trắng","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","397","","","99.3","","","","","","","","","","",""
"Kẹo cà phê","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","378","","1.3","91.5","","","","","","","","","","",""
"Kẹo dừa mềm","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","415","0.6","12.2","75.6","2.5","","16","6.6","0.4","","","","","",""
"Kẹo đậu phộng","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","449","10.3","16.5","64.8","2.2","","","","","","","","","",""
"Kẹo ngậm bạc hà","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","268","5.2","","61.9","","","96","18","1.6","","","","","",""
"Kẹo sôcôla","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","388","1.6","4.6","85.1","1.2","","","","","","","","","",""
"Kẹo sữa","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","390","2.9","5.2","93","","","","","","","","","","",""
"Mật ong","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","327","0.4","","81.3","","","5","16","0.9","","","","","","4"
"Cari bột","GIA VỊ, NƯỚC CHẤM","283","8.2","7.3","46","8.9","","906","421","","","","380","","0.03",""
"Gừng tươi","GIA VỊ, NƯỚC CHẤM","25","0.4","","5.8","3.3","","60","8","2.5","7","316","","","0.04","5.3"
"Muối","GIA VỊ, NƯỚC CHẤM","","","","","","","150","70","0.8","39 g","","","","",""
"Nghệ khô","GIA VỊ, NƯỚC CHẤM","360","6.3","5.1","72.1","","","146","284","18.6","","","10","","0.03",""
"Nghệ tươi","GIA VỊ, NƯỚC CHẤM","22","0.3","","5.2","6.1","","12","22","","","","","","","7"
"Mắm tôm đặc","GIA VỊ, NƯỚC CHẤM","73","14.8","1.5","","","","","","","","","","","",""
"Tôm chua","GIA VỊ, NƯỚC CHẤM","68","8.7","1.2","5.5","","","","","","","","","","",""
"Nước mắm","GIA VỊ, NƯỚC CHẤM","28","7.1","","","","","387","246.7","2.7","4926","","","","0.03",""
"Tương ớt","GIA VỊ, NƯỚC CHẤM","37","0.5","0.5","7.6","0.9","","36","24","","","","","","",""
"Xì dầu","GIA VỊ, NƯỚC CHẤM","28","7","","","","","59","100","4.9","","","","","0.05",""
"Bia","NƯỚC GIẢI KHÁT","43","0.5","","2.3","","","6","26","0.1","","","","","0.01",""
"CocaCola","NƯỚC GIẢI KHÁT","42","","","10.4","","","8","15","","","","","","",""
"Rượu nếp","NƯỚC GIẢI KHÁT","202","4","","37.7","0.2","","","","","","","","","",""
"Rượu trắng","NƯỚC GIẢI KHÁT","273","","","","","","","","","","","","","",""
